lon,lat
-1.637254,55.008711
-1.634473,55.005027
-1.634473,55.005027
-1.63997,55.007497
-1.63997,55.007497
-1.621709,55.005689
-1.634288,55.00305
-1.567736,55.000118
-1.591397,55.008431
-1.591397,55.008431
-1.580085,55.00017
-1.666276,55.004741
-1.665388,55.006167
-1.665315,55.013078
-1.660688,55.007296
-1.652216,54.99984
-1.661436,54.996523
-1.658615,54.997405
-1.659171,55.00181
-1.659915,54.998846
-1.658615,54.997405
-1.650236,54.999214
-1.646973,55.000499
-1.643857,54.997551
-1.65461,54.992272
-1.656851,54.995234
-1.669558,55.001021
-1.665789,54.991799
-1.665789,54.991799
-1.669005,54.990281
-1.666829,54.99457
-1.665789,54.991799
-1.67289,54.996869
-1.675591,54.995412
-1.674849,54.996335
-1.67667,54.99528
-1.67289,54.996869
-1.67448,54.995471
-1.670685,54.991301
-1.67448,54.995471
-1.672094,54.994854
-1.67448,54.995471
-1.581883,54.997184
-1.573433,54.992158
-1.582323,54.986366
-1.582323,54.986366
-1.613946,54.993551
-1.607114,54.990564
-1.607227,54.991786
-1.608068,54.996884
-1.607085,54.995111
-1.759385,54.990268
-1.753755,54.993501
-1.747269,54.990962
-1.723899,54.99172
-1.759075,54.995147
-1.736391,54.983786
-1.755821,54.995599
-1.755887,54.997504
-1.728026,54.996124
-1.72688,55.001486
-1.693001,54.993623
-1.687682,54.99228
-1.687682,54.99228
-1.695945,54.995015
-1.700924,54.991675
-1.692192,54.991096
-1.692244,54.990369
-1.690157,54.991567
-1.69008,54.987263
-1.708365,54.98933
-1.657098,54.990158
-1.65682,54.989681
-1.65682,54.989681
-1.669456,54.988673
-1.648757,54.987753
-1.596993,54.985211
-1.602527,54.98336
-1.599859,54.987674
-1.602118,54.988472
-1.599859,54.987674
-1.596038,54.986933
-1.605867,54.988601
-1.601602,54.990043
-1.607241,54.987114
-1.607241,54.987114
-1.594544,54.981662
-1.596126,54.981308
-1.582263,54.977128
-1.580657,54.978344
-1.582263,54.977128
-1.582263,54.977128
-1.577575,54.983132
-1.57077,54.98824
-1.575087,54.98643
-1.57722,54.987202
